entryid,childDownloadUrl,parentDownloadUrl,name,result
1_vzkzyphk,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_u3kkeagn/format/download/protocol/https/flavorParamIds/0,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_vzkzyphk/format/download/protocol/https/flavorParamIds/0,BWL1_Tizian_Eggenberger,OK
1_ghtrq31i,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_7lwsviat/format/download/protocol/https/flavorParamIds/0,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_ghtrq31i/format/download/protocol/https/flavorParamIds/0,BWL1_Robin_Anthamatten,OK
1_qoywnbjc,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_0p22o2ei/format/download/protocol/https/flavorParamIds/0,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_qoywnbjc/format/download/protocol/https/flavorParamIds/0,BWL1-HS20/21_Denis Fux,OK
1_8canqdpj,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_dgqd4ehz/format/download/protocol/https/flavorParamIds/0,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_8canqdpj/format/download/protocol/https/flavorParamIds/0,BWL1_Kevin_Mario_Nicolas_Biedert,OK
1_35c7tpz4,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_5spkauxg/format/download/protocol/https/flavorParamIds/0,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_35c7tpz4/format/download/protocol/https/flavorParamIds/0,BWL1_Pascal_Krebs,OK
1_2qibcm7i,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_zw643j0z/format/download/protocol/https/flavorParamIds/0,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_2qibcm7i/format/download/protocol/https/flavorParamIds/0,BWL1_Caluser_Martina,OK
1_9xz1bn3u,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_oh08yvkt/format/download/protocol/https/flavorParamIds/0,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_9xz1bn3u/format/download/protocol/https/flavorParamIds/0,BWL1_Fabio_Pernozzoli,OK
1_90q6v7fm,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_g2fjqzer/format/download/protocol/https/flavorParamIds/0,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_90q6v7fm/format/download/protocol/https/flavorParamIds/0,BWL 1_Lisa_Högger,OK
1_2g48lq6b,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_pfmf2b0h/format/download/protocol/https/flavorParamIds/0,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_2g48lq6b/format/download/protocol/https/flavorParamIds/0,BWL1_Roman_Widmer,OK
1_0rvwxx07,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_2lv1hhy5/format/download/protocol/https/flavorParamIds/0,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_0rvwxx07/format/download/protocol/https/flavorParamIds/0,"Kaltura Capture recording - Januar 23. 2021, 9:13:23 am",OK
1_xezt5wes,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_64ytqgin/format/download/protocol/https/flavorParamIds/0,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_xezt5wes/format/download/protocol/https/flavorParamIds/0,BWL1_Arber Kerhanaj,OK
1_y6fu4e05,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_gkmf01ov/format/download/protocol/https/flavorParamIds/0,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_y6fu4e05/format/download/protocol/https/flavorParamIds/0,"BWL1-HS20/21_Damino_Meury - January 23rd 2021, 8:57:57 am",OK
